,,Dendrite length in 10µm thick sections perpendicular to the apical dendrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance from soma (µm),,-300,-290,-280,-270,-260,-250,-240,-230,-220,-210,-200,-190,-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
cell ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160405_A1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9,76.9,25.8,70.6,41.3,55.2,103.6,83.9,94.6,76.7,47.5,58.4,112.3,131.9,112.4,79.2,71.3,31.6,48.9,44.6,48.2,106.7,144.2,46.5,27.1,16.6,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160405_A3_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4,16.2,27.2,107.2,170.6,214.6,260.4,206,109.8,134.2,103.2,82.7,97,162.7,123.3,52.2,58.6,66,22.5,10.3,10.3,10.5,10.1,10.4,10.3,10.1,10.3,10.3,11.7,10.5,6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160405_A3_right,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,11.9,10.7,56.1,136.1,106,99.4,129.3,193.5,794,62.7,57.8,92.2,79.2,65.2,123.4,36.3,19.8,23,69.5,35.3,31,20.6,12.8,10.4,10.4,10.3,10.4,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160405_A6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,18.1,22.4,61,130.2,302.7,130.5,81.3,48.6,116.4,126.2,96.8,123.4,126.5,102.4,39.8,56.2,21.4,68.4,87.8,38.1,49.2,29.1,23,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160407_A2_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,14.4,22.2,25.5,80.3,100.2,106.7,156.2,136,157.4,175.3,204.4,112.1,146.9,76.6,77.9,63.7,81,46,35.2,36.9,45.7,13.6,10.3,10.2,11.4,28.2,10.3,10.3,10.2,15.1,28.4,21.4,20.9,21.3,10.3,10.5,10.3,10.3,10.2,10.2,10.4,10.4,11.8,43.2,10.3,10.3,10.2,10.2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160407_A2_right,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,29.7,26.8,27.3,40.3,43,58,54.1,63,90.4,140.8,201.9,228.7,132.7,90.9,76.4,34.8,38.9,68.8,89.7,148.2,149.9,56.8,59,63.1,58.5,39.2,37.6,24.5,12.9,10.3,10.3,10.4,10.6,10.3,10.2,27.6,22.2,24.3,22.6,10.4,10.2,10.2,10.2,10.3,10.2,10.3,10.3,10.3,10.3,10.3,10.4,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160407_A5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,157.5,90.4,69.5,71.3,77.6,84.2,126.2,165.8,111.9,123.4,105.5,79.6,107.7,103.9,38,89.3,40.9,10.3,18.3,70.5,77.7,10.3,10.2,56.4,12.8,20.9,19.1,10,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160413_A6_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,26.1,43.4,64.6,119.1,134.1,163,196.2,86.1,117.5,123.1,186,49.2,10.2,26.9,49.2,44,23,10.4,10.3,10.7,17.1,21.8,26.5,10.5,10.7,10.5,10.2,10.8,10.6,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
