,,Dendrite length in 10µm thick sections perpendicular to the apical dendrite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Distance from soma (µm),,-300,-290,-280,-270,-260,-250,-240,-230,-220,-210,-200,-190,-180,-170,-160,-150,-140,-130,-120,-110,-100,-90,-80,-70,-60,-50,-40,-30,-20,-10,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,220,230,240,250,260,270,280,290,300,310,320,330,340,350,360,370,380,390,400,410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590,600,610,620,630,640,650,660,670,680,690,700
cell ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20160405_A1,,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5,10.3,12.4,11.4,10.6,10.6,11.1,13.7,42.7,69.9,80.5,103.2,84.7,136.1,198.9,138.3,143.9,172,232.6,104.7,121.5,59.9,55.2,103.6,83.9,94.6,76.7,47.5,58.4,112.3,131.9,112.4,79.2,71.3,31.6,48.9,44.6,48.2,106.7,144.2,46.5,27.1,16.6,12.7,65.1,34.1,31.9,21,21.9,20.8,20.8,40.7,37.1,31.8,33.1,32.3,31.7,32,31.3,35.4,41.9,41.6,41.2,42.3,42.1,49.6,56.7,53.7,54.2,55.4,53.4,97.9,85,96.6,102.7,112.8,127.9,119.2,143.1,140.9,262.9,141.4,112.5,29,0,0,0,0
20160405_A3_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,15.4,21.2,22,51.8,53.5,52.3,79,97.6,108,172.3,239.6,341.1,235.9,147,253.6,254.6,281.9,296.1,217.3,120.8,144.6,114.2,88.4,97,162.7,123.3,52.2,58.6,66,22.5,10.3,10.3,10.5,10.1,10.4,10.3,10.1,10.3,10.3,11.7,10.5,15.4,21,38.4,42.4,65.6,105.9,106.1,63.6,127.1,102.1,82.3,143.6,111.9,78,61.7,75.8,90.7,22.1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20160405_A3_right,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,10.7,10.7,10.4,36.2,111.5,188.6,345.9,320.9,293.8,357.9,255.2,250.5,215.6,228.5,807.2,72.9,68.1,102.9,89.6,75.2,133.7,45.8,19.8,23,69.5,35.3,31,20.6,31.2,31.7,31.8,45.4,72.6,34.4,21,23.5,21,20.7,20.8,21.4,22,21,20.7,20.6,21,21.2,21.8,21.4,20.7,21.1,21.3,21.1,20.8,22.2,21.6,28.4,48.5,76.5,109.3,62.4,67.8,71.1,85.2,121.7,101.1,294.1,134.4,27.8,0.2,0,0,0,0,0,0,0,0,0,0,0
20160405_A6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9,15.1,20.3,83.7,75.4,86.4,96.2,196.9,183.6,314.8,370.4,258.8,276.7,91.5,127.4,220.2,351.4,153.6,81.3,48.6,116.4,126.2,96.8,123.4,126.5,102.4,39.8,56.2,21.4,68.4,87.8,38.1,49.2,29.1,23,18,21.5,20.7,20.6,20.7,20.5,20.5,21.1,20.8,20.6,20.6,20.5,20.6,20.4,20.4,20.5,20.4,20.5,20.5,20.5,32,31.6,33.4,80.4,82.2,92.7,94.7,133.8,191.1,154.4,149.1,208.2,239.7,162.5,178.6,52.3,0.6,0,0,0,0,0,0,0,0,0,0,0
20160407_A2_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8,48.9,43,51.5,52.5,54.5,87.9,104.6,114,190.5,237,334.1,189.4,163.8,205,180.6,136,157.4,175.3,204.4,112.1,146.9,76.6,77.9,63.7,81,46,35.2,36.9,45.7,13.6,10.3,10.2,11.4,28.2,10.3,10.3,10.2,15.1,28.4,21.4,20.9,21.3,10.3,10.5,10.3,10.3,10.2,10.2,10.4,10.4,11.8,43.2,10.3,10.3,10.2,10.2,19.8,30.8,50.3,44.9,50.3,73.3,126.4,176.8,141.4,186.9,198,229.3,116.1,168.5,94.9,43.1,0,0,0,0,0,0,0,0,0,0
20160407_A2_right,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.9,12.5,13.5,22.2,25.5,77.4,116.6,157.9,170.3,262.3,184.1,201.7,204.4,254.6,109.3,168.6,228.5,253,167.3,129.1,109.1,47.4,41.9,68.8,89.7,148.2,149.9,56.8,59,63.1,58.5,39.2,37.6,24.5,12.9,10.3,10.3,10.4,10.6,10.3,10.2,27.6,22.2,24.3,22.6,10.4,10.2,10.2,10.2,10.3,10.2,10.3,10.3,10.3,10.3,10.3,10.4,19.9,22.3,21.5,21.4,22,23.1,25.5,52.4,80.6,139.6,186.9,364.6,248.3,242.1,152.8,112.1,0,0,0,0,0,0,0,0,0,0,0,0
20160407_A5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,10.1,10.4,13.7,22,47.1,48.2,72.3,137.8,142.4,207,202.6,274.5,153.5,206.7,154.5,216.7,115.5,82.4,71.3,77.6,84.2,126.2,165.8,111.9,123.4,105.5,79.6,107.7,103.9,38,89.3,40.9,10.3,18.3,70.5,77.7,10.3,10.2,56.4,12.8,31.9,30,24.8,31.5,22.6,20.2,20.5,20.6,20.7,20.6,20.8,21,22.1,35,35.8,46.9,42.5,43.3,37,36.7,39.8,45.1,42.6,42,46.4,81.6,99.2,141.1,117.8,142.4,57.8,0,0,0,0,0,0,0,0,0,0,0,0,0
20160413_A6_left,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,18.6,10.7,11.3,10.5,17.2,34.5,68.7,110.5,152.3,171.5,186.5,240,166.6,246.6,252.8,293.7,200.3,241.7,205,208,226.9,102.1,118.1,123.1,186,49.2,10.2,26.9,49.2,44,23,10.4,10.3,10.7,17.1,21.8,26.5,10.5,10.7,10.5,10.2,10.8,10.6,20.4,31.8,36.7,35.6,58.4,56.9,75.6,56,81,248.5,196.5,285.8,117.8,159.8,43.4,34.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
