,,Location of lower border (distance from pia),,,,
Slice number,,L1,L2/3,L5,L6,Background pixel value (no axons)
1,,183.2,421.3,620.8,934.2,65
2,,174.1,419.8,636.2,992.4,55
3,,164.6,418.2,644.6,968.2,70
4,,165.4,383.4,635.5,989.8,70
5,,169.6,424.7,729.4,1015,50
6,,160.1,342.6,583.3,1025,45
7,,156.3,356.5,586.7,973.9,45
8,,138.2,374.3,633.2,987.9,60
9,,108.6,356.9,582.5,967.5,45
10,,138.5,350.9,538.3,884.6,40
11,,176.8,414.8,635.1,1013,40
12,,115.1,321.4,543.9,1006,35
13,,110.5,332.3,612.8,858.1,35
14,,117.3,325.9,559.4,838.4,35
15,,160.5,348.6,555.2,909.5,35
16,,142.3,338.4,578.7,895.1,35
17,,159.7,376.2,571.2,922.8,35
